continue_last_run;이어서 하기
speechbubble_the_craven_rand_0;나에겐 길고 추운 여정이었지, 들어가기 전에 조금이라도 불을 피워 몸을 덥혀야겠어.
speechbubble_the_craven_rand_1;오늘 아침 끔찍한 두통이 일어서 이것만 나으면 곧바로 안에 들어갈 거야.
speechbubble_the_craven_rand_2;우웁, 뭔가 이상한걸 먹은 것 같아. 그러니까 모험을 미뤄야겠어.
speechbubble_the_craven_rand_3;그 검은 고양이를 봤나? 불길한 전조야. 아마 모험하기에는 그다지 좋은 날이 아닌것 같아...
speechbubble_the_craven_rand_4;어젯밤 잠을 너무 못잤어! 자신을 생명을 의식하고 모험하는 것이 중요하니까, 오늘은 고대 던전에 가지 않을 거야.
speechbubble_the_craven_rand_5;오늘은 내 생일이니까. 고대 던전에 들어가지 않고 축하할 거야.
speechbubble_the_craven_rand_6;물웅덩이에 발을 담궈서 양망이 젖어버렸어. 젖은 양말로 모험을 하기엔 힘들지. 아마 내일 다 마를 거야.
speechbubble_the_craven_rand_7;오늘 안에 들어가려고 했지만, 강아지가 내 숙제를 먹어버렸어. 이 두 가지 일은 관련이 없어 보이겠지만 믿어줘, 연관이 있어.
speechbubble_the_craven_rand_8;아프다! 종이에 베인 상처는 진짜 최악이야! 검을 잡는 쪽 엄지를 베었어! 빨리 나아야 던전에 들어갈 텐데.. *불편한 한숨*
speechbubble_the_craven_rand_9;아니 아니야, 먼저 가! 내가 최고의 모험가는 아니지만, 예의 있다고 자부하고 있어. 나는 내 차례를 기다리는 것이 행복해.
The Craven;겁쟁이
lore_id_11_title;Page 1
lore_id_11_text;나는 내 죽음의 책임을 대도서관에 둔다. 도서관 관장들에 의해 내 연구를 비난당하고 쫓겨난 후, 숲속에서 망명자로 살아야 했다. 작은 동물들을 잡아먹었고 가난에 허덕이는 마을 주민들에게는 무엇이든지 내 "신성모독" 물약과 교환하며 생존했다. 이런 불경한 물약을 만들기는 쉽지 않았다. 어느 동굴 벽에 붙은 이끼를 긁어내는 순간 갑자기 큰 균열 소리와 함께 햇빛이 사라지고 나는 어둠 속에서 길을 잃었다.
lore_id_30_title;Page 2
lore_id_30_text;몇 분이나 흙벽을 덧없이 긁어댄 끝에, 동굴 안 쪽을 탐험하기로 결심했다. 흙벽을 손으로 더듬어 가는 중에 세공된 돌벽이 만져지는 순간 소름끼치도록 명확하게 내 상황을 깨닫게 되었다. 나는 고대 던전에 빠져든 것이었다. 오랫동안 사라져 있었지만, 대도서관의 역사학자들에게 이 던전의 존재는 논란의 여지가 없었다. 땅 아래 뒤틀린 거대한 미궁은 단 하나 뿐이었고, 나는 그 안에 있었다.
lore_id_33_title;Page 3
lore_id_33_text;나는 절망하지 않았다. 오히려 기뻤다. 모든 음모에도 불구하고 대도서관은 이 위대한 작품에서 나를 떼어 놓을 수 없었으니! 약간의 어려움이 있었지만, 나는 마주치는 모든 싹, 보섯 그리고 잡초를 모았다. 모든 것들은 던전의 마법에 영향을 받았고, 이것으로 만든 물약은 경이로웠다! 선천적 한계를 뛰어넘은 물약으로 인해 새로운 보금자리의 위험요소들은 전부 하찮아졌다. 나는 고대 던전의 복도를 두려움 없이, 마치 영주가 그의 성을 거닐 듯 산책할 수 있었다. 하지만 사실, 나는 침입자였으나, 내 침입은 눈에 띄지 않았다.
lore_id_37_title;Page 1
lore_id_37_text;정직한 사람은 좋은 삶을 유지하는데 절대적으로 필요한 것이 매우 적다는 것을 깨닫는다. 굶주리지 않을 정도의 충분한 음식과 자연의 위협을 피할 수 있는 피신처, 목마르지 않을 정도의 물이면 충분하다. 대부분의 사람들이 추구하는 과잉은 그들을 약화시키며, 수천 가지의 "필요"가 아닌 "원하는 것"으로 묶어 버린다. 이들은 그것을 얻기 위해 끝없이 수고하나 실제 그것들이 전혀 필요하지 않다는 것을 모른다. 난 오랫동안 이러한 사슬에서 사람들을 해방하려 노력했지만 그저 마을 광장에서 소리치는 "미친 사람"으로 치부할 뿐이다.
lore_id_40_title;Page 2
lore_id_40_text;내 외모는 삭막하지만 내면의 평화는 웅장하다. 단순한 말로는 다른 사람들에게 나의 힘을 설명하기 힘들어서 그것을 직접 보여주려 했다. 어느 날 나는 모든 사람들에게 나는 고대 던전에 들어갔다가 살아나올 것이라 선언했다. 단순한 사람들은 나를 비웃었고 내 몸의 연약함을 조롱하며, 몇몇은 내가 거기서 도살 당할 것이라 했다. 나는 그들에게 내가 입구로 들어가는 것과 나중에 나오는 것을 보기 위해 따라오라고 했다. 몇몇 밖에 안 따라왔지만, 그것만으로 충분했을 것이다.
lore_id_41_title;Page 3
lore_id_41_text;고귀한 절제의 삶이 내 체질과 의지를 철저하게 만들었다. 오랜 시련의 삶에서 얻은 지혜로 던전의 위험들을 지나갔기에 모두 하찮게 느껴졌다. 놀랍게도, 음식과 물을 구하는 것이 이전보다 더 쉬워졌고, 충분한 식사를 일정하게 하고 있었기에 오히려 과도한 것은 아닌지 궁금해졌다. 내 주변의 생물들은 대부분 무관심하게 나를 바라보았고, 쫓아오는 생물들도 쉽게 피했다. 내 성공은 거의 확실해 보였다.
lore_id_13_title;Page 2
lore_id_13_text;나는 크고 강해져서 싸움을 아주 잘하게 되었다. 새로운 사람들이 나의 첫 번째 친구가 되었다. 그들은 나에게 음식과 선물을 준다. 나는 큰 도끼와 곰 모자와 작은 드레스를 가지고 있었다. 내 친구들은 그건 드레스가 아니라 킬트(Kilt)라고 했다. 난 그것이 단지 드레스일 뿐이라 죽이지(kill) 않았다. 내가 나쁜 사람들을 죽였기 때문에 친구들은 지금 나를 더 좋아한다. 하지만 실수로 친구 중 한 명을 죽인 적이 있는데, 내 생각엔 친구들이 싫어했던 것 같다.
lore_id_2_title;Page 1
lore_id_2_text;나는 똑똑하지는 않지만 몸집이 크다. 어렸을 때도 컸고 어리지 않았을 때는 더 컸다. 마을 사람들은 내가 물건을 들어주면 좋아했지만, 내가 배가 고플때는 좋아하지 않았다. 마을 사람들은 나를 쫓아냈고 나는 매우 배가 고팠다. 오랫동안 혼자였지만 새로운 사람들을 만났다. 이들은 검과 갑옷을 장비했으며 나쁜 사람들과 싸우는 것을 좋아했다. 나에게 검을 주고 나쁜 사람들과 싸울 수 있게 해주었다. 나는 크고 강하며 싸움을 잘한다.
lore_id_21_title;Page 3
lore_id_21_text;내 친구들이 나를 멀리 떨어진 동굴로 데려갔다. 그들은 동굴 안에 나쁜 사람들이 있으니 들어가라고 말했다. 동굴로 들어갔는데 너무 어두워 길을 잃었지만 나쁜 것들을 찾아내 죽였다. 오랜 시간 죽이고 또 죽였지만 나쁜 것들이 너무 많았다. 나는 매우 피곤해졌고 나쁜 것들이 나를 상처입혔다. 그 후에 나는 졸리게 되어 잠이 들었다.
lore_id_22_title;Page 2
lore_id_22_text;그래서, 당신이 상상하듯, 고대 던전에 많은 신기한 야수들이 있다는 것을 듣고, 나는 가만히 있을 수 없었다. 내가 다룰 수 있는 모든 계기와 도구를 가지고 이곳으로 왔다. 나는 그것들 하나하나 연구할 계획이었고, 만약 착하고 부드럽고 폭력적이지 않은 개체가 있다면 죽을 만큼 꼭 껴안으려고 했다! 던전 밖의 젊은 대장장이는 내 계획이 자살계획이라고 폄훼했지만 당신 같이 항상 서로를 깔개 삼으려는 "사람들"에게나 그렇게 보일 뿐이겠지.
lore_id_24_title;Page 3
lore_id_24_text;내가 처음 던전에 들어간 날, 클라렌스를 만났다. 어찌나 사랑스럽던지! 그는 작은 초록 강아지처럼 내 주위를 따라다녔고, 껴안는 것을 몹시 좋아했지! 내가 돌아볼 때마다 내 어딘가에 붙어서 즐거운 소리를 내며 따라다니곤 했지. 클라렌스가 내 옷에 구멍을 내긴 했지만 그냥 재미있게 놀고 있었을 뿐이야. 우리는 멋진 팀이 되었다! 우리는 매일 매일 그의 친구들에 대한 노트를 수집하고, 관찰하고, 해부하며 보냈다... 모든 것이 갑자기 끝나버린 것은 정말 슬픈 일이야.
lore_id_3_title;Page 1
lore_id_3_text;나는 동물들을 사랑했다. 그들은 사람보다 훨씬 더 나아! 어떤 동물들은 귀엽고 부드러운 반면, 어떤  것들은 못생기고 딱딱하지만, 그들 모두가 놀라워! 나는 항상 동물들과 최대한 많은 시간을 보냈다. 가끔 관찰만 하거나, 안아주거나, 뽀뽀하거나, 껴안아 주기도 했지. 게다가 그들이(물론, 오래 행복한 삶을 살고) 죽은 뒤에는 그들을 해부해서 엄청난 것들을 배울 수 있었지! 내 첫 해부를 절대 잊지 못할 거야, 마법같은 경험이었어.
beasts_cradle_title;야수의 요람
beasts_cradle_text;내 인생이 끝인 것 같다는 두려움이 든다.<br><br>절망적인 방황 속에서도, 나는 단지 이 미로 속으로 더 깊이, 어쩌면 심장부에 이르렀을지도 모른다. 나는 이곳에서 끔찍한 존재를 느낄 수 있다. 그것은 내 마음의 뒤를 밀어붙이고, 앞으로 나아가도록 압박하고 있다.<br><br>나는 저항했지만, 이제 휴식의 약속이 생명 그 자체보다 더욱 소중하게 느껴진다. 아이는 굶주리고 있고, 배부르게 해주어야 한다.<br><br>이 글을 발견한 사람들에게, 나의 운명보다 당신의 운명이 더 낫기를 빌어본다.
forgotten_library_title;잊혀진 도서관
forgotten_library_text;나는 무수한 책이 꽉 찬 책장들 사이에서 잃어버린 지식에 둘러싸인 채 이 글을 쓴다. 처음으로, 나는 인류가 우리가 간직하고 있는 것보다 더 많은 것을 잊어버리진 않았을까 하는 생각이 든다.<br><br>나는 한 번에 한, 두 권의 책밖에 가져갈 수 없다. 희망적으로, 내가 작성한 지도는 앞으로 대규모 탐험대를 인도할 것이다.<br><br>그 지도에 관한 말인데...이제 복잡하고, 모순적인 면이 있다. 불가능하지만, 이곳이 움직이고 있는 것 같다는 생각이 든다.
infested_dungeon_title;감염된 던전
infested_dungeon_text;이곳은 언젠가 감옥으로 사용되었던 것 같다. 철장이 있는 감방이 많고, 내 서투른 발걸음은 많은 뼈들을 밟아 부숴뜨렸다.<br><br>여기서 드물게 자라는 붉은 버섯을 수집하여 연구하기로 했다. 운좋게도, 샘플은 계피 냄새가 나서 가방에 가득히 좋은 향이 스며들었다.<br><br>지도 작성은 최선을 다해 진행되고 있다. 이곳은 마치 엉클어진 밧줄의 덩어리 같다.<br><br>
lore_id_20_title;Page 1
lore_id_20_text;고대 던전에 들어갈 때 나는 매우 낙관적이었고 목적의식이 있었다. 나는 동료들 사이에서 열심히 일했지만, 나 자신을 빛낼 기회는 찾지 못했다. 그러던 중, 운좋게도 고대 던전의 다른 입구가 발견되었다. 즉시 들어가서, 인류 역사상 처음으로 던전 내부의 지도를 작성하기로 결심했다. 이런 거대한 일에 비해 내 인생은 작은 것으로 여겨졌지만, 이 일을 위해서라면 감수할 수 있었다.
lore_id_31_title;Page 2
lore_id_31_text;즉시, 문제들이 발생했다. 던전에는 수많은 적대적인 생물들(난 관여하기는 커녕 도망쳤다)이 있었고, 그것보다 더 나쁜 점은 내가 지도에 그린 복도들이 마치 매듭지어진 밧줄 덩어리처럼 서로 감싸고 뒤틀리는 것 같았다. 더 나아가면 갈수록 지도는 더 이상 이해하기 어려워졌다. 절박한 몇 주간의 생존 끝에, 나는 끔찍한 진실을 깨달았다. 이 던전은 움직이고 있다는 것이다.
lore_id_38_title;Page 3
lore_id_38_text;그 후로 나는 학문적인 추구를 버리고 생존에만 집중했다. 목숨 걸고 탈출할 수 없다면 내가 감수한 위험은 전혀 가치가 없게 될 것이었다. 내 지도는 쓸모없어졌지만, 고대 던전의 많은 위험에 대해 쓴 나의 메모들은 어느 정도 가치가 있을 것이라고 생각했다. 나는 매우 조심스럽게 움직이면서 천천히 내려가기 시작했다. 몇 주가 더 흐르고, 결국 내가 마주친 것은... 끝이었다.
luminous_mines_title;빛나는 광산
luminous_mines_text;이곳은 움직이는 것 같다. 나의 지도는 엉킨 덩어리가 되었고, 나는 길을 잃었다. 앞으로? 뒤로? 어쨌든, 계속 움직이고 있다. 이제 나는 모든 열망을 버리고 살아남기만을 희망한다.<br><br>내 주변은 벽에 달린 촛대가 있는 복도에서 빛나는 수정만이 비춰주는 동굴로 바뀌었다. <br><br>최악의 일은, 나 혼자가 아니라는 것이다. 나는 어둠 속에서 야수들의 소리를 들었다. 바라건데 튼튼한 산책 지팡이와 엄한 말 몇 마디로 그들을 막을 수 있을 것이다.<br>
overgrown_gatehouse_title;제멋대로 커진 관문
overgrown_gatehouse_text;고대 던전에서 나의 첫 하루가 끝났다. 난 엄청난 낙천주의자다.<br><br>주변 환경이 "던전 같지 않다"고 하더라도, 아직은 그대로 남아있다. 인류에게 점점 알려지는 세상에서, 이렇게 신비로운 곳에 있다는 것은 정말로 떨리는 경험이다.<br><br>지도를 그리기 시작했다. 인내를 가지고 꾸준히 작업하면, 내 인생 최고의 업적이 될 것이다.<br><br>
lore_id_1_title;Page 1
lore_id_1_text;나는 오래 전부터 모든 것을 다 알고 있었다. 다른 사람들은 큰 계획을 세우고 부를 축적하며, 그것으로 자신의 인생을 통제할 수 있다고 생각한다. 하지만 계획이 실패하고, 모든 부를 빼앗기고 나면, 처음과 다를 바 없어진다. <br>하지만 나는 다르다. 세상이 무엇인지를 알고 있었다. 그것은 우연의 나열이다. 그것과 싸우는 것은 의미가 없고, 오히려 순응하며 그 즐거움을 즐기는 것이 더 좋다.<br>
lore_id_10_title;Page 2
lore_id_10_text;다른 사람들은 내가 대담한, 미친 짓을 했다고 할지 모르겠지만 난 큰 위험을 감수했다. 하루는 왕처럼 살고 다음 날은 거지처럼 살았다. 나는 그게 좋았다. 매일이 새로웠고, 매번 좋은 운이 찾아와 다음 행운이 더욱 달콤해질 거라는 걸 알았기 때문이다. 그래서 고대 던전이 다시 나타났다고 들었을 때, 바로 그 날 출발하기로 결심했다. 모든 것을 걸고 위험을 무릅쓰기로 했고 설레임으로 인해 뼈가 떨리기 일쑤였다.
lore_id_12_title;Page 3
lore_id_12_text;지금, 나는 위대한 전사는 아니지만, 큰 일격을 날리는 데는 자신있었다. 그래서 내가 들어간 모든 방을 파괴하며, 상대한 것만큼 돌려주었다. 여정은 험난했지만, 나는 너무 신나서 미칠 것 같았다! 금화가 쓰레기처럼 널브러져 있고, 마법의 보물들은 내가 상상도 할 수 없는 일들을 할 수 있게 해 주었다. 더 가면 갈수록 탈출 가능성이 높아지는 것 같았다. 하지만 그것은 큰 실수였다. 나는 더 현명했어야 했다. 삶은 매우 변덕스러운 것이었다.
lore_id_34_title;Page 1
lore_id_34_text;나는 죽었다... 이해할 수 없다. 나는 이 세상에서 가장 위대한 사냥꾼인데! 무슨 일이 있었던 거지? 머릿 속이 흐릿하다. 좋아, 좋아... 생각해보자. 던전으로 다시 들어갔던 것 같은데... 운 좋게 탈출한 것이 틀림없는 바보들과 이야기를 나누다... 그리고 나서 나는... 아무것도 없이 죽었다. 잠깐... 잠깐만! 바보들 중 하나가 몰래 다가와 날 죽였나? 그것이 틀림없다. 이게 말이 되는 유일한 방법이야...
lore_id_35_title;Page 2
